Tip_label	f
Paratrechina_antsingy	0.6
Paratrechina_longicornis	0.6
Paratrechina_zanjensis	0.6
Prenolepis_emmae	0.22
Prenolepis_imparis	0.2
Prenolepis_melanogaster	0.2
Prenolepis_nitens	0.2
Pseudolasius_australis	0.04
Pseudolasius_typhlops	0.04
Zatania_albimaculata	0.8
Zatania_cisipa	0.8
Zatania_gibberosa	0.8
Zatania_gloriosa	0.8
Lasiophanes_atriventris	0.17
Melophorus_CASENT0106148	0.04
Myrmecorhynchus_emeryi	0.33
Notoncus_capitatus	0.17
Notostigma_carazzii	0.5
Prolasius_convexus	0.05
Pseudonotoncus_hirsutus	0.5
Teratomyrmex_greavesi	0.33
Brachymyrmex_depilis	0.02
Myrmelachista_flavocotea	0.02
Myrmoteras_iriodum	0.05
Myrmoteras_williamsi	0.05
Oecophylla_longinoda	0.67
Oecophylla_smaragdina	0.67
Acropyga_acutiventris	0.05
Acropyga_epedana	0.05
Anoplolepis_carinata	0.33
Anoplolepis_custodiens	0.33
Anoplolepis_gracilipes	0.33
Aphomomyrmex_afer	1
Cladomyrma_petalae	0.08
Lepisiota_canescens	0.01
Petalomyrmex_phylax	1
Plagiolepis_alluaudi	0.03
Plagiolepis_madecassa	0.03
Santschiella_kohli	1
Acanthoponera_minor	0.09
Heteroponera_microps	0.09
Heteroponera_panamensis	0.09
Anomalomyrma_boltoni	0.33
Protanilla_CASENT0007002	0.11
Leptanilla_CASENT0106505	0.02
Yavnella_argamani	0.5
Opamyrma_hungvuong	1
Martialis_heureka	1
Myrmecia_athertonensis	0.39
Myrmecia_brevinoda	0.39
Myrmecia_callima	0.39
Myrmecia_chasei	0.39
Myrmecia_chrysogaster	0.39
Myrmecia_croslandi	0.39
Myrmecia_esuriens	0.39
Myrmecia_eungellensis	0.39
Myrmecia_fabricii	0.39
Myrmecia_forceps	0.39
Myrmecia_formosa	0.39
Myrmecia_froggatti	0.39
Myrmecia_fucosa	0.39
Myrmecia_fulviculis	0.39
Myrmecia_fulvipes	0.39
Myrmecia_gulosa	0.39
Myrmecia_harderi	0.39
Myrmecia_loweryi	0.39
Myrmecia_mandibularis	0.39
Myrmecia_michaelseni	0.39
Myrmecia_midas	0.39
Myrmecia_nigriscapa	0.39
Myrmecia_nigrocincta	0.39
Myrmecia_petiolata	0.39
Myrmecia_picta	0.39
Myrmecia_piliventris	0.39
Myrmecia_pilosula	0.39
Myrmecia_pulchra	0.39
Myrmecia_rowlandi	0.39
Myrmecia_rufinodis	0.39
Myrmecia_swalei	0.39
Myrmecia_tarsata	0.39
Myrmecia_tepperi	0.39
Myrmecia_testaceipes	0.39
Myrmecia_urens	0.39
Myrmecia_varians	0.39
Nothomyrmecia_macrops	1
Acanthognathus_ocellatus	0.14
Acromyrmex_ambiguus	0.25
Acromyrmex_balzani	0.25
Acromyrmex_echinatior	0.25
Acromyrmex_heyeri	0.25
Acromyrmex_landolti	0.25
Acromyrmex_lundii	0.25
Acromyrmex_octospinosus	0.25
Acromyrmex_striatus	0.25
Acromyrmex_versicolor	0.25
Allomerus_decemarticulatus	0.25
Allomerus_octoarticulatus	0.25
Apterostigma_auriculatum	0.18
Apterostigma_collare	0.18
