generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1485000,42,7.10855,-6926.61,36.0659,0.443667
1490000,41,3.50482,-6933.98,48.2605,0.448
1495000,37,-2.42291,-6963.58,36.8598,0.429
1500000,43,7.70962,-6926.23,50.6911,0.455
1505000,48,-3.86118,-6926.53,43.6489,0.451833
1510000,48,-2.68385,-6921.35,46.0962,0.414833
1515000,46,-4.48938,-6930.16,39.7898,0.4206
1520000,45,1.98323,-6934.82,39.968,0.4335
1525000,45,-13.3206,-6923.98,41.4455,0.407
1530000,43,-1.21559,-6929.18,47.7404,0.429
1535000,38,2.79747,-6963.81,33.8739,0.439
1540000,36,-2.73398,-6929.75,42.5916,0.4337
1545000,32,2.36876,-6923.07,29.7372,0.412714
1550000,32,10.9358,-6946.75,31.9741,0.426875
1555000,36,-0.641786,-6940.34,30.8457,0.4239
1560000,40,4.02508,-6923.34,50.2372,0.429
1565000,33,9.92367,-6937.12,34.0332,0.413
1570000,40,5.30685,-6918.7,41.178,0.415
1575000,37,5.22596,-6938.84,32.2788,0.431
1580000,34,0.863733,-6955.65,40.5638,0.421939
1585000,37,5.01644,-6935.62,35.2848,0.463875
1590000,37,-9.16441,-6958.59,33.7949,0.438875
1595000,47,4.51741,-6909.44,54.3115,0.442571
1600000,35,1.23987,-6950.5,40.1955,0.415
1605000,37,2.31802,-6926.86,39.991,0.387
1610000,40,-1.56651,-6908.99,48.5982,0.435
1615000,40,1.31402,-6936.13,50.2677,0.4267
1620000,38,3.66379,-6931.8,41.4948,0.433
1625000,36,-4.30026,-6952.1,28.2241,0.415
1630000,42,8.66638,-6935.52,47.3219,0.424
1635000,38,-1.27421,-6931.96,37.5119,0.405
1640000,39,-5.59255,-6944.81,33.8115,0.438
1645000,43,3.18984,-6940.99,40.885,0.428778
1650000,36,0.328113,-6937.82,34.0659,0.433167
1655000,35,-2.21426,-6929.78,26.9753,0.446
1660000,35,3.94934,-6921.15,40.3971,0.419
1665000,36,-1.43371,-6922.76,37.3682,0.431
1670000,34,4.07535,-6947.31,35.5556,0.407
1675000,40,-7.92331,-6937.2,44.5054,0.446
1680000,35,-2.71534,-6943.37,38.7478,0.422
1685000,41,-5.20776,-6929.61,44.3878,0.455
1690000,37,-4.87369,-6929.24,39.0229,0.418
1695000,47,-18.7953,-6926.52,47.6461,0.458
1700000,41,-5.25183,-6933.88,40.0826,0.414
1705000,34,5.96981,-6926.98,40.7829,0.405
1710000,48,-0.474423,-6924.93,44.1798,0.434
1715000,46,5.57114,-6914.15,39.5221,0.457
1720000,43,-6.08199,-6923.59,39.8711,0.42
1725000,48,0.255816,-6935.02,52.1107,0.449
1730000,48,-9.55976,-6919.39,40.7808,0.426
1735000,44,0.138043,-6915.41,42.9139,0.45075
1740000,45,-1.08923,-6917.35,45.0877,0.445
1745000,46,6.31373,-6913.96,54.1048,0.432
1750000,43,5.04032,-6928.46,33.9716,0.453
1755000,48,0.0316372,-6928.57,37.6496,0.432593
1760000,38,-10.4688,-6925.66,43.7222,0.425
1765000,36,5.19015,-6932.23,34.5707,0.423545
1770000,36,3.41378,-6928.42,31.1589,0.4295
1775000,46,2.45082,-6901.04,40.8705,0.421
1780000,36,2.81503,-6947.59,21.3839,0.475
1785000,37,1.28784,-6957.39,27.4607,0.45025
1790000,48,10.1266,-6917.34,48.7175,0.419
1795000,40,-0.112623,-6934.99,36.202,0.459
1800000,42,-5.09217,-6936.06,30.4076,0.432933
1805000,45,-0.739235,-6927.17,42.1866,0.457667
1810000,45,4.96004,-6926.31,36.516,0.435
1815000,32,-4.13946,-6939.08,36.2052,0.417
1820000,43,-4.80791,-6925.37,52.6746,0.4525
1825000,34,-0.913193,-6932.65,37.0164,0.439778
1830000,31,3.4449,-6940.84,24.6959,0.404
1835000,43,4.63598,-6947.28,51.9352,0.436909
1840000,42,-4.05326,-6955.18,48.4724,0.417
1845000,39,0.819215,-6946.66,36.2193,0.44
1850000,36,-0.391852,-6942.81,32.5984,0.418
1855000,42,-4.7136,-6932.54,45.9428,0.415
1860000,37,4.70663,-6952.98,37.5731,0.452
1865000,34,-12.5411,-6937.52,32.1509,0.386
1870000,41,-1.84033,-6932.34,36.2479,0.436
1875000,32,4.15124,-6927.87,30.3115,0.418
1880000,36,-7.68366,-6937.13,36.6117,0.404
1885000,40,-3.18722,-6930.07,30.6595,0.449
1890000,35,-8.13023,-6950,38.4766,0.41075
1895000,40,-13.8765,-6966.76,32.4995,0.4385
1900000,35,-2.57841,-6949.49,36.3525,0.427
1905000,35,-2.37981,-6939.18,37.8716,0.4348
1910000,39,-8.15307,-6960.19,39.825,0.432
1915000,38,-1.56991,-6963.17,38.5271,0.405
1920000,39,-8.0299,-6943.94,42.4312,0.44
1925000,33,-7.90422,-6937.11,31.8445,0.4162
1930000,36,-1.57934,-6935.41,28.1453,0.43
1935000,34,-1.03947,-6933.67,32.3742,0.409
1940000,37,-6.88446,-6942.18,45.1853,0.421333
1945000,34,-9.22606,-6951.38,41.4885,0.418
1950000,33,-4.18905,-6940.62,32.7845,0.419
1955000,36,-9.62197,-6940.67,48.1186,0.465
1960000,35,-12.9899,-6949.9,33.1978,0.432
1965000,44,-14.2751,-6944.79,47.5845,0.422667
1970000,38,-1.77408,-6933.2,41.4266,0.435
1975000,39,-11.9906,-6934.24,47.8848,0.427
1980000,34,-6.84314,-6957.26,32.0697,0.444
1985000,36,4.97926,-6953.34,29.4422,0.437
1990000,36,-8.06081,-6938.09,43.3548,0.449
1995000,35,3.61671,-6951.39,35.0609,0.437
2000000,36,-8.75584,-6931.62,32.0515,0.432737
2005000,36,-1.6665,-6926.43,55.6427,0.393
2010000,35,-0.964174,-6952.95,36.5333,0.45
2015000,31,-0.463784,-6944.63,23.8274,0.419
2020000,39,1.95924,-6944.12,48.5527,0.428286
2025000,31,-9.00889,-6938.16,34.4073,0.351
2030000,40,-1.3512,-6938.01,39.0337,0.421667
2035000,38,0.456043,-6928.78,40.085,0.429
2040000,35,1.00612,-6952.08,39.8585,0.43
2045000,37,7.58422,-6952.8,32.0089,0.432765
2050000,38,-6.35154,-6928.99,36.6311,0.443278
2055000,44,-3.46064,-6930.06,42.5578,0.461
2060000,40,-1.59672,-6938.48,37.0665,0.43
2065000,38,-4.30712,-6952.75,40.2888,0.419
2070000,34,-5.38844,-6940.84,42.073,0.395
2075000,42,0.958988,-6926.88,40.7279,0.399
2080000,39,1.28919,-6946.01,31.5777,0.425
2085000,38,5.334,-6935.29,39.0232,0.42
2090000,33,4.13134,-6956.41,26.6796,0.403
2095000,38,0.494333,-6915.91,34.7164,0.418
2100000,35,-3.43654,-6956.28,38.7102,0.426
2105000,29,-1.06503,-6964.37,32.9483,0.393
2110000,37,1.33728,-6940.19,34.417,0.44375
2115000,39,6.67409,-6933.4,39.5164,0.444
2120000,43,-0.189247,-6931.85,38.6542,0.427
2125000,43,8.39528,-6923.39,47.0109,0.452
2130000,48,-1.38312,-6922.05,51.3943,0.469
2135000,44,5.49068,-6944.08,36.4762,0.452778
2140000,47,5.07835,-6931.22,38.1516,0.453
2145000,45,-2.88995,-6935.63,48.0677,0.4575
2150000,33,2.20779,-6928.78,29.264,0.416
2155000,36,3.33746,-6931.96,33.3328,0.441
2160000,32,2.77739,-6940.15,30.0409,0.4
2165000,39,-17.0421,-6925.68,41.5884,0.42555
2170000,39,-11.0743,-6924.63,36.8004,0.4168
2175000,34,-2.48526,-6935.06,24.5559,0.37
2180000,33,-4.0327,-6943.9,32.2122,0.396
2185000,40,-4.27602,-6932.71,34.1508,0.438
2190000,40,3.1985,-6940.53,35.458,0.424
2195000,43,1.21277,-6924.33,43.6135,0.461
2200000,47,-3.2377,-6913.24,56.945,0.444154
2205000,43,4.34976,-6913.1,53.0766,0.401
2210000,37,-0.532817,-6922.39,26.8322,0.44175
2215000,42,11.4048,-6926.32,41.8907,0.443333
2220000,38,0.469426,-6921.77,42.4101,0.419
2225000,37,-13.6963,-6937.5,34.0183,0.426263
2230000,37,-2.23008,-6936.91,30.6001,0.437667
2235000,49,-2.05261,-6923.9,41.8492,0.445333
